"Indicator","PUBLISH STATES","Year","WHO region","Country","Beverage Types","Display Value","Numeric","Low","High","Comments"
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Tonga","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Antigua and Barbuda","Beer","36.4","36.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Botswana","Wine","11.8","11.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Samoa","Spirits","12.5","12.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Panama","Wine","4.6","4.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Bangladesh","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Bangladesh","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Liberia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Iceland","Beer","61.8","61.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Viet Nam","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Antigua and Barbuda","Wine","16.4","16.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Senegal","Wine","41.3","41.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Philippines","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Russian Federation","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Switzerland","Spirits","17.6","17.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Yemen","Spirits","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Iraq","Spirits","22.9","22.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Albania","Beer","31.8","31.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Nicaragua","Beer","38.8","38.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","United Republic of Tanzania","Spirits","1.8","1.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Kazakhstan","Beer","31.8","31.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Estonia","Beer","41.2","41.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Netherlands","Beer","46.8","46.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Spain","Wine","20.1","20.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Bahamas","Wine","14.6","14.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Algeria","Other alcoholic beverages","2.0","2.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Tunisia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Slovenia","Beer","44.5","44.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","San Marino","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Seychelles","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Cambodia","Spirits","53.5","53.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Sao Tome and Principe","Spirits","16.3","16.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Pakistan","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Maldives","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Costa Rica","Other alcoholic beverages","0.5","0.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Bahamas","Spirits","50.4","50.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Central African Republic","Wine","0.6","0.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Honduras","Spirits","58.7","58.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Zambia","Other alcoholic beverages","60.7","60.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mauritania","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Czech Republic","Wine","20.5","20.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Vanuatu","Spirits","36.7","36.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Armenia","Wine","5.3","5.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Republic of Moldova","Spirits","64.5","64.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Israel","Spirits","49.5","49.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Indonesia","Wine","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Luxembourg","Beer","36.2","36.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mozambique","Spirits","25.4","25.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Argentina","Other alcoholic beverages","5.8","5.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Seychelles","Spirits","10.8","10.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Italy","Spirits","11.5","11.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Guyana","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Poland","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Romania","Spirits","21.1","21.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Sri Lanka","Beer","13.0","13.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Rwanda","Other alcoholic beverages","88.4","88.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Belize","Beer","67.6","67.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Chad","Spirits","3.8","3.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Guatemala","Wine","1.6","1.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Georgia","Wine","49.8","49.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Ghana","Spirits","2.9","2.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Tuvalu","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Burundi","Wine","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Papua New Guinea","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Ecuador","Wine","1.2","1.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Latvia","Other alcoholic beverages","5.4","5.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Antigua and Barbuda","Other alcoholic beverages","0.3","0.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Azerbaijan","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Niger","Wine","13.2","13.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Philippines","Beer","26.9","26.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Tuvalu","Wine","15.5","15.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Haiti","Wine","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Sweden","Beer","37.0","37.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Democratic People's Republic of Korea","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Serbia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","The former Yugoslav republic of Macedonia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Albania","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Georgia","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Kiribati","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Burkina Faso","Other alcoholic beverages","83.8","83.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Rwanda","Spirits","0.4","0.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Kazakhstan","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Grenada","Spirits","66.2","66.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Democratic People's Republic of Korea","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Bosnia and Herzegovina","Wine","3.2","3.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mali","Wine","1.5","1.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Marshall Islands","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Namibia","Wine","0.3","0.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Mongolia","Wine","2.8","2.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Syrian Arab Republic","Spirits","63.5","63.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Kitts and Nevis","Spirits","48.0","48.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Papua New Guinea","Beer","51.3","51.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Uruguay","Wine","59.9","59.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Andorra","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Malaysia","Spirits","21.8","21.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Oman","Spirits","42.2","42.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Syrian Arab Republic","Beer","8.5","8.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Somalia","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Ghana","Other alcoholic beverages","57.3","57.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Palau","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Guyana","Spirits","76.6","76.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Timor-Leste","Spirits","14.8","14.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Slovakia","Beer","30.1","30.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Burundi","Spirits","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Honduras","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Austria","Beer","50.4","50.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Montenegro","Spirits","41.7","41.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Poland","Beer","55.1","55.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Yemen","Beer","100.0","100.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Croatia","Other alcoholic beverages","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Malawi","Spirits","13.4","13.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Bangladesh","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Congo","Spirits","10.9","10.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Switzerland","Beer","31.8","31.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","Wine","33.8","33.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Tonga","Beer","57.9","57.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Austria","Wine","35.5","35.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Democratic People's Republic of Korea","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Switzerland","Wine","49.4","49.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Uzbekistan","Beer","18.3","18.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Bosnia and Herzegovina","Spirits","67.7","67.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Benin","Beer","54.6","54.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Solomon Islands","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Nicaragua","Spirits","60.6","60.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Democratic People's Republic of Korea","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Panama","Spirits","26.0","26.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Austria","Spirits","14.0","14.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Malta","Spirits","27.2","27.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Sweden","Other alcoholic beverages","1.4","1.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Uzbekistan","Wine","6.3","6.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Cook Islands","Beer","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Croatia","Spirits","15.4","15.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Paraguay","Other alcoholic beverages","2.0","2.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Pakistan","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Bhutan","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Malaysia","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Slovakia","Wine","18.3","18.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Ecuador","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Haiti","Spirits","99.6","99.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Estonia","Other alcoholic beverages","10.9","10.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Seychelles","Beer","67.0","67.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Zimbabwe","Wine","1.7","1.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Central African Republic","Other alcoholic beverages","81.1","81.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Tajikistan","Wine","1.1","1.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Beer","75.6","75.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Israel","Wine","6.2","6.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Slovakia","Spirits","46.2","46.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Kuwait","Wine","10.8","10.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Egypt","Beer","53.8","53.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Wine","0.8","0.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Kyrgyzstan","Beer","22.6","22.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","France","Beer","18.8","18.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Paraguay","Spirits","28.8","28.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Estonia","Spirits","36.8","36.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Nigeria","Beer","8.0","8.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Netherlands","Spirits","16.9","16.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Romania","Wine","28.9","28.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Central African Republic","Spirits","2.1","2.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Kuwait","Spirits","30.7","30.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Barbados","Other alcoholic beverages","0.8","0.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Saudi Arabia","Beer","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Libya","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Oman","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Ethiopia","Spirits","8.2","8.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Argentina","Wine","48.0","48.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Niue","Beer","47.0","47.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Vincent and the Grenadines","Spirits","63.1","63.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Kyrgyzstan","Spirits","72.9","72.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Micronesia (Federated States of)","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","India","Wine","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Montenegro","Beer","10.9","10.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Malaysia","Wine","2.0","2.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Sierra Leone","Spirits","0.7","0.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Poland","Wine","9.3","9.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Thailand","Beer","27.0","27.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","United States of America","Spirits","32.7","32.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mali","Spirits","2.1","2.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","United Arab Emirates","Beer","10.3","10.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mozambique","Wine","7.3","7.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Micronesia (Federated States of)","Wine","14.1","14.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Australia","Beer","44.0","44.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Djibouti","Spirits","71.5","71.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Cuba","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Finland","Wine","17.5","17.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mali","Beer","13.3","13.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Dominican Republic","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Viet Nam","Beer","97.3","97.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Morocco","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Eritrea","Other alcoholic beverages","36.3","36.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Zambia","Wine","2.9","2.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Marshall Islands","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Zimbabwe","Other alcoholic beverages","67.7","67.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Barbados","Beer","39.7","39.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","India","Beer","6.8","6.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","San Marino","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Belgium","Wine","36.3","36.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Timor-Leste","Beer","9.3","9.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Benin","Spirits","7.2","7.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Lesotho","Other alcoholic beverages","29.6","29.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","El Salvador","Wine","1.7","1.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Uzbekistan","Spirits","75.4","75.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","United Republic of Tanzania","Beer","11.0","11.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Angola","Wine","13.7","13.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Republic of Korea","Spirits","3.0","3.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Costa Rica","Beer","59.3","59.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Belarus","Beer","17.3","17.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Kiribati","Spirits","60.9","60.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Marshall Islands","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Indonesia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Bahrain","Wine","6.3","6.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Denmark","Beer","37.7","37.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Haiti","Beer","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Sierra Leone","Other alcoholic beverages","92.3","92.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Eritrea","Beer","63.6","63.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Afghanistan","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Thailand","Wine","0.4","0.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cote d'Ivoire","Other alcoholic beverages","80.5","80.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Democratic Republic of the Congo","Spirits","2.0","2.00000","","",""
